#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	8.585870000000000e-02	2.306896348000000e+01	5.247294692089953e+00	3.087784152750808e-02	2.298977186791289e+00	7.848981265667520e-01	0.000000000000000e+00
6.283185e+03	8.583839475382327e-02	2.308038429619802e+01	5.391772555258080e+00	3.026247026932016e-02	2.298976771665732e+00	7.643088594962504e-01	3.481949330576181e-02
6.283185e+04	8.564925745038356e-02	2.318251607466503e+01	4.731828689159241e+00	3.026476677748447e-02	2.298940517096265e+00	7.645522401372505e-01	7.534827500574398e-02
6.283185e+05	8.399016680486700e-02	2.414048447586088e+01	2.932483000183093e+00	3.037770138607852e-02	2.295745312175940e+00	7.766508311415701e-01	1.690410025026442e-01
6.283185e+06	7.969517999648099e-02	2.893324262793275e+01	5.041173268598095e+00	3.212821177841672e-02	2.131088677653099e+00	1.391031057428929e+00	4.364922330011811e-01
