2.015000	0
2.045000	0
2.075000	0
2.105000	0
2.135000	0
2.165000	0
2.195000	3
2.225000	0
2.255000	0
2.285000	4
2.315000	4
2.345000	6
2.375000	19
2.405000	8
2.435000	12
2.465000	8
2.495000	2
2.525000	3
2.555000	10
2.585000	24
2.615000	18
2.645000	18
2.675000	27
2.705000	14
2.735000	28
2.765000	39
2.795000	28
2.825000	2
2.855000	7
2.885000	17
2.915000	15
2.945000	5
2.975000	10
3.005000	21
3.035000	12
3.065000	22
3.095000	13
3.125000	38
3.155000	42
3.185000	30
3.215000	20
3.245000	5
3.275000	0
3.305000	0
3.335000	1
3.365000	5
3.395000	8
3.425000	8
3.455000	3
3.485000	2
3.515000	2
3.545000	2
3.575000	0
3.605000	0
3.635000	1
3.665000	0
3.695000	0
3.725000	0
3.755000	0
3.785000	0
3.815000	0
3.845000	0
3.875000	0
3.905000	3
3.935000	2
3.965000	4
3.995000	4
