#[Semimajor Axis] from 2 to 4(AU), [Absolute Magnitude] under 9.7(mag) (equivalent to diameters D > 50km, assuming a visual geometric albedo of 0.09)
#object		ω(°)	Ω(°)	i(°)	e	q(AU)	a(AU)	M(°)	n(°/d)	Q(AU)	P(yrs)	H(mag)
(1256) Normannia	101.2	237.0	4.2	0.08	3.59	3.89	314.1	0.128	4.20	7.68	9.7
(126) Velleda	328.5	23.3	2.9	0.11	2.18	2.44	302.2	0.259	2.70	3.81	9.3
(1264) Letaba	31.5	235.1	25.0	0.15	2.42	2.87	31.1	0.203	3.31	4.85	9.7
(1266) Tone	297.9	320.6	17.2	0.05	3.19	3.36	39.1	0.160	3.53	6.16	9.4
(1268) Libya	119.7	351.0	4.4	0.10	3.57	3.98	107.4	0.124	4.38	7.93	9.1
(1269) Rollandia	19.0	134.7	2.8	0.10	3.51	3.91	225.6	0.128	4.30	7.72	8.8
(127) Johanna	94.6	31.2	8.2	0.07	2.57	2.76	67.8	0.215	2.94	4.58	8.6
(128) Nemesis	303.9	76.2	6.2	0.13	2.40	2.75	215.7	0.216	3.10	4.56	7.5
(129) Antigone	111.1	135.7	12.3	0.21	2.26	2.87	97.4	0.203	3.48	4.86	7.1
(13) Egeria	80.4	43.2	16.5	0.08	2.36	2.58	309.4	0.238	2.79	4.14	6.7
(130) Elektra	236.2	145.4	22.8	0.21	2.48	3.13	128.9	0.178	3.78	5.53	7.1
(1303) Luthera	100.3	72.1	19.5	0.11	2.89	3.23	130.2	0.170	3.57	5.80	9.5
(1304) Arosa	148.2	86.6	19.0	0.12	2.82	3.20	138.3	0.172	3.57	5.72	9.2
(132) Aethra	255.2	258.4	25.0	0.39	1.59	2.61	38.3	0.234	3.63	4.21	9.4
(133) Cyrene	289.6	319.1	7.2	0.14	2.65	3.06	316.2	0.184	3.48	5.37	8.0
(134) Sophrosyne	84.7	346.0	11.6	0.12	2.26	2.56	229.9	0.240	2.86	4.10	8.8
(135) Hertha	340.3	343.7	2.3	0.21	1.92	2.43	77.4	0.261	2.93	3.78	8.2
(136) Austria	132.9	186.5	9.6	0.08	2.09	2.29	291.8	0.285	2.48	3.46	9.7
(137) Meliboea	107.1	202.3	13.4	0.21	2.45	3.12	221.1	0.178	3.79	5.52	8.1
(138) Tolosa	260.8	54.8	3.2	0.16	2.05	2.45	348.3	0.257	2.85	3.83	8.8
(139) Juewa	165.6	1.8	10.9	0.18	2.29	2.78	60.3	0.213	3.27	4.64	7.8
(1390) Abastumani	332.9	28.9	19.9	0.03	3.32	3.44	259.5	0.155	3.55	6.37	9.4
(14) Irene	98.1	86.1	9.1	0.17	2.16	2.59	287.6	0.237	3.02	4.16	6.3
(140) Siwa	196.7	107.3	3.2	0.22	2.14	2.73	200.7	0.218	3.32	4.52	8.3
