#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.716771000000000e-02	1.619126393000000e+01	5.431442488058922e+00	1.343659177940355e-02	1.295555809360288e+00	2.983888891169790e+00	0.000000000000000e+00
6.283185e+03	4.716567594216041e-02	1.619653796698527e+01	1.399195525666552e+00	1.342906510976694e-02	1.295558978436271e+00	2.987480326843212e+00	2.312480948199597e-02
6.283185e+04	4.708809927352476e-02	1.624360231557428e+01	6.204273428881629e+00	1.342259521733910e-02	1.295844193076841e+00	2.987530456383999e+00	4.996566267542679e-02
6.283185e+05	4.581384199103900e-02	1.668019110342061e+01	3.051398808479872e-01	1.288583312553970e-02	1.325418757159561e+00	2.989139727983969e+00	1.105410686231962e-01
6.283185e+06	1.720049554745016e-02	1.873830367988944e+01	1.911180043377405e-01	3.287749902132744e-02	2.451969284724535e+00	5.673233096387808e+00	2.675384724170674e-01
3.141593e+07	1.025952119725938e-01	1.921275639503666e+01	1.350603329689344e+00	8.800482989789410e-03	3.269340177263015e+00	3.371782783784164e-01	4.690678287661560e-01
