#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	5.415060000000000e-02	8.737070319999999e+00	9.145972638373515e-01	4.336200713409832e-02	1.984701857037052e+00	1.613241687005847e+00	0.000000000000000e+00
6.283185e+03	5.419242878927671e-02	8.738762227173526e+00	5.324873762903083e+00	4.223640313811437e-02	1.984674568576608e+00	1.614520886970800e+00	2.334069116942887e-02
6.283185e+04	5.345663953086680e-02	8.750840768372619e+00	5.357022126694822e+00	4.234224407846848e-02	1.978804975579092e+00	1.630918899726490e+00	5.035549903418722e-02
6.283185e+05	3.368478773858350e-02	8.939876335083891e+00	3.383297362628209e+00	4.176539146873853e-02	1.620249496984707e+00	3.936639085467768e+00	1.108311826369920e-01
6.283185e+06	1.490771393393252e-01	9.702505450852767e+00	1.682491265645393e+00	1.059439990324526e-02	1.916100806029800e+00	2.719276231253384e+00	2.591478946456038e-01
3.141593e+07	9.838194259187720e-02	9.859009845735343e+00	3.601348503202074e+00	1.559657046678213e-02	1.581185975772311e+00	6.290286383958136e-01	4.502845970994166e-01
